Pos,ccs_x,ccs_y,ccs_z,ac_x,ac_y,ac_z
1,0.7916219,0.3440422,0.00399997,0.7958370416568683,0.3510293679091117,0.035755192181632055
2,0.78929961,-0.04663129,0.01099994,0.7958243185608094,-0.04302107118769866,0.035684321336903024
3,0.78671423,-0.43921442,0.00799992,0.7958226393386447,-0.43711114577576504,0.0357620023905145
4,0.92973168,-0.44042928,0.00399997,0.9396859080073976,-0.4370495114981401,0.03567271468781838
5,1.07526666,-0.44498495,-0.01100002,1.08347598941138,-0.4371162238497331,0.03569348385063112
6,1.07463326,-0.05068353,-0.0230001,1.0835062921580751,-0.04299939163975822,0.03571366087488548
7,1.07959208,0.34529247,-0.03800009,1.0835202906348769,0.3510217059951533,0.03579531910606628
8,0.93379395,0.34386976,-0.01900003,0.9396660482476766,0.3510813859165362,0.035707628425327674
9,0.93045534,-0.04995059,-0.00700007,0.9396871058214975,-0.042951842161449046,0.035697108918007536
11,0.79849229,0.34739422,0.08799996,0.795846600938596,0.35103882334108394,0.1357623865481913
12,0.79619131,-0.04546129,0.09099998,0.7958252431166628,-0.04300076791962181,0.1357120114559578
13,0.79382433,-0.4470808,0.09099998,0.7958246466383889,-0.43708958339669995,0.1357015199176517
14,0.9391946,-0.44894595,0.07799997,0.9396683860131714,-0.43707851042605034,0.13574207595563945
15,1.08548232,-0.45206241,0.06099989,1.0835276199523194,-0.4370502500307668,0.13568596822554838
16,1.08478187,-0.04905778,0.06499996,1.0835183235000232,-0.04298804414328944,0.13567669621235606
17,1.08666159,0.34716575,0.06799998,1.0834919181361895,0.3510279088326365,0.13573177885548174
18,0.94452489,0.34888538,0.07099988,0.9396625297621704,0.35103894229834176,0.13571445321388712
19,0.94212479,-0.04637748,0.07099988,0.9396562799164696,-0.04302133129091597,0.135735714096771
21,0.80734554,0.3504598,0.18999996,0.7958335492405615,0.3510675695382136,0.235729540805904
22,0.8048622,-0.04383692,0.17499997,0.795831692728104,-0.04300145534510184,0.23571016762293498
23,0.80300059,-0.44664876,0.19299998,0.795808060415335,-0.4370980719701496,0.2357171576542205
24,0.94993901,-0.44957648,0.17199995,0.939642482280616,-0.4371072656022452,0.23574650491447963
25,1.09498392,-0.45116157,0.16099991,1.083510777481412,-0.43708443328781954,0.23569493705422995
26,1.09439896,-0.04660078,0.16399993,1.0835016712370305,-0.04301382259576233,0.23573183351233917
27,0.87128789,0.61596306,-0.06600008,1.0834918457930787,0.3510051820684673,0.23573178130937805
28,0.95244373,0.35121058,0.16899993,0.9396780514725172,0.3510739336481735,0.23573220992669963
29,0.95020594,-0.04635521,0.16899993,0.9396863958362556,-0.04299440961231189,0.23574284828834427
